Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,SalePrice
Other,Other,1979,55.0,918,264,99500
Other,Other,2007,95.0,1428,480,182000
Other,HdBoard,1910,60.0,2019,532,167500
Other,Other,2000,,1382,490,165000
Other,Other,1923,51.0,869,0,85500
Other,VinylSd,2006,35.0,1241,569,199900
Edwards,Other,1954,68.0,894,400,110000
Other,VinylSd,1963,80.0,1121,480,139000
NAmes,Other,1961,,999,588,178400
Other,VinylSd,1998,98.0,2612,676,336000
Other,VinylSd,2007,43.0,1266,388,159895
CollgCr,Other,2002,,2290,779,255900
Other,Other,1977,75.0,1734,539,126000
Edwards,Other,1950,68.0,1164,240,125000
OldTown,VinylSd,1910,59.0,1635,255,117000
Other,VinylSd,2009,83.0,1940,606,395192
Other,Other,1976,,2030,551,195000
Other,VinylSd,2006,65.0,1576,614,197000
Other,VinylSd,1997,82.0,2392,870,348000
OldTown,Other,1882,121.0,1742,424,168000
NAmes,Other,1964,80.0,1851,440,187000
CollgCr,VinylSd,2005,68.0,1500,564,173900
Other,Other,2006,96.0,1718,786,337500
Other,Other,1946,51.0,1230,305,121600
NAmes,Other,1961,,1050,368,136500
Other,HdBoard,1970,,1442,615,185000
Other,Other,1922,60.0,1077,210,91000
CollgCr,VinylSd,2006,64.0,1208,632,206000
Edwards,Other,1952,74.0,944,528,82000
OldTown,Other,1920,60.0,691,216,86000
Other,VinylSd,2006,75.0,1574,824,232000
Other,VinylSd,1976,,1680,528,136905
Other,VinylSd,2005,43.0,1504,457,181000
CollgCr,HdBoard,1977,65.0,985,328,149900
NAmes,Other,1970,,1657,484,163500
Other,Other,1970,21.0,1092,286,88000
Other,VinylSd,2004,43.0,1710,550,240000
Other,Other,1926,60.0,1522,0,102000
Other,Other,1948,115.0,1271,312,135000
Edwards,Other,1965,75.0,1664,0,100000
Other,Other,1923,55.0,1502,180,165000
OldTown,Other,1910,60.0,1022,280,85000
NAmes,,1948,60.0,1082,240,119200
Other,VinylSd,2001,70.0,1665,528,227000
CollgCr,VinylSd,1996,73.0,1504,478,203000
Other,HdBoard,1984,,1360,565,187500
Other,HdBoard,1991,,1472,402,160000
Other,VinylSd,2005,43.0,1506,440,213490
Edwards,VinylSd,2005,60.0,1132,451,176000
CollgCr,VinylSd,2006,64.0,1220,632,194000
OldTown,Other,1930,52.0,1248,160,87000
Other,VinylSd,2005,43.0,1504,437,191000
Other,Other,1976,,2898,665,287000
CollgCr,VinylSd,1972,70.0,882,461,112500
NAmes,Other,1960,73.0,1264,461,167500
Other,VinylSd,2007,71.0,1646,800,293077
NAmes,Other,1941,79.0,1376,240,105000
Other,HdBoard,1972,21.0,1218,264,118000
Other,VinylSd,1916,,1928,0,160000
Other,Other,1920,102.0,3082,672,197000
Other,Other,1993,,2520,796,310000
CollgCr,VinylSd,2002,,1654,900,230000
Other,Other,1938,50.0,954,240,119750
Edwards,Other,1957,,845,290,84000
Other,VinylSd,2007,89.0,1620,912,315500
CollgCr,VinylSd,2001,,2263,905,287000
Other,Other,1970,21.0,1344,0,97000
Other,Other,1970,21.0,630,286,80000
Other,Other,1957,88.0,1803,484,155000
Other,HdBoard,1966,,1632,484,173000
Other,VinylSd,2005,34.0,1306,624,196000
Other,HdBoard,1990,86.0,2329,514,262280
Other,,1981,80.0,2524,542,278000
Edwards,Other,1955,,1733,452,139600
Other,Other,2005,85.0,2868,716,556581
CollgCr,VinylSd,1994,57.0,990,672,145000
Other,HdBoard,1960,100.0,1771,336,115000
Edwards,Other,1946,60.0,930,308,84900
Other,VinylSd,2007,73.0,1302,436,176485
CollgCr,VinylSd,2007,103.0,1316,440,200141
NAmes,VinylSd,1964,100.0,1977,540,165000
Edwards,,1957,68.0,1526,364,144500
CollgCr,VinylSd,2002,90.0,1989,586,255000
Other,Other,1976,104.0,1523,478,180000
Other,VinylSd,2005,43.0,1364,484,185850
Other,HdBoard,1994,,1850,467,248000
Other,VinylSd,2008,96.0,2184,836,335000
Other,Other,1932,,1991,432,220000
Other,Other,2001,41.0,1338,582,213500
Other,Other,1935,120.0,894,1248,81000
OldTown,Other,1900,85.0,2337,560,90000
OldTown,Other,1925,50.0,1103,440,110500
NAmes,Other,1966,,1154,480,154000
Other,Other,1996,80.0,2260,533,328000
Other,,1993,59.0,1571,380,178000
NAmes,HdBoard,1964,80.0,1611,442,167900
Other,Other,1973,42.0,2521,576,151400
NAmes,Other,1949,60.0,893,576,135000
NAmes,Other,1956,72.0,1048,286,135000
Other,Other,1968,78.0,1556,441,154000
Edwards,Other,1948,50.0,1456,280,91500
Edwards,HdBoard,1977,75.0,1426,440,159500
CollgCr,VinylSd,2006,74.0,1240,826,194000
Other,Other,1940,75.0,1740,240,219500
OldTown,Other,1936,60.0,1466,566,170000
NAmes,VinylSd,1969,,1096,299,138800
CollgCr,VinylSd,2004,37.0,848,420,155900
CollgCr,VinylSd,1994,65.0,990,299,126000
Other,VinylSd,1971,80.0,1258,528,145000
Other,HdBoard,1963,75.0,1040,308,133000
CollgCr,VinylSd,2002,70.0,1459,527,192000
NAmes,HdBoard,1964,80.0,1251,461,160000
Other,HdBoard,1995,,1498,409,187500
Other,HdBoard,1992,73.0,996,564,147000
Other,,1973,,1092,286,83500
Other,VinylSd,2005,85.0,1953,1043,252000
Edwards,VinylSd,2004,24.0,1709,380,137500
Other,Other,2005,37.0,1247,550,197000
NAmes,Other,1950,60.0,1040,400,92900
Other,Other,1999,24.0,1252,462,160000
Other,Other,1925,60.0,1694,576,136500
NAmes,Other,1965,71.0,1200,884,146000
NAmes,Other,1956,74.0,936,308,129000
CollgCr,VinylSd,2006,78.0,1314,440,176432
Other,Other,1914,60.0,1355,0,127000
Other,HdBoard,1986,,1088,461,170000
Other,Other,1936,50.0,1324,240,128000
Other,Other,1978,82.0,1601,478,157000
Other,Other,1920,60.0,438,246,60000
NAmes,HdBoard,1971,61.0,950,280,119500
NAmes,Other,1960,70.0,1134,254,135000
NAmes,Other,1959,79.0,1194,539,159500
Other,HdBoard,1970,24.0,1302,440,106000
Other,HdBoard,1994,98.0,2622,712,325000
Other,HdBoard,1990,114.0,1442,719,179900
Other,VinylSd,2006,168.0,2021,422,274725
Other,VinylSd,2000,,1690,463,181000
Other,Other,2004,107.0,1836,862,280000
Other,HdBoard,1995,,1658,431,188000
Other,Other,1976,80.0,1964,483,205000
NAmes,Other,1957,73.0,816,308,129900
NAmes,Other,1953,66.0,1008,240,134500
OldTown,Other,1954,90.0,833,326,117000
Other,VinylSd,2007,93.0,1734,928,318000
Other,VinylSd,2002,,1419,527,184100
Other,VinylSd,1967,57.0,894,450,130000
Other,Other,1958,85.0,1601,300,140000
NAmes,Other,1959,70.0,1040,286,133700
Other,Other,1920,59.0,1012,308,118400
CollgCr,VinylSd,2005,84.0,1552,782,212900
Edwards,Other,1956,,960,288,112000
Edwards,VinylSd,1947,50.0,698,0,118000
Other,HdBoard,1992,,1482,392,163900
NAmes,Other,1955,60.0,1005,672,115000
Other,VinylSd,2007,53.0,1555,660,174000
Other,VinylSd,2004,182.0,1530,630,259000
Other,VinylSd,2004,59.0,1959,434,215000
OldTown,Other,1980,60.0,936,672,140000
Other,Other,1928,65.0,1981,576,135000
Other,HdBoard,1991,63.0,974,0,93500
OldTown,Other,1880,90.0,2210,205,117500
Other,VinylSd,1995,80.0,2020,466,239500
Other,VinylSd,1997,57.0,1600,460,169000
Other,Other,1926,60.0,986,180,102000
NAmes,VinylSd,1950,80.0,1252,288,119000
Other,VinylSd,1875,54.0,1020,0,94000
Other,Other,1977,,1567,714,196000
Other,Other,1920,98.0,1167,495,144000
NAmes,HdBoard,1951,60.0,952,840,139000
Other,Other,1976,,1868,484,197500
CollgCr,VinylSd,2006,77.0,2828,1052,424870
Other,Other,1959,,1006,0,80000
Edwards,Other,1941,60.0,924,280,80000
Other,Other,1928,52.0,1576,225,149000
Other,Other,1985,,1298,403,180000
Other,Other,1941,75.0,1564,234,174500
OldTown,Other,1926,,1111,288,116900
OldTown,VinylSd,1920,50.0,1482,324,143000
NAmes,Other,1950,57.0,932,306,124000
Edwards,HdBoard,1959,134.0,1466,528,149900
Other,Other,1956,90.0,1811,470,230000
Other,Other,1930,,816,432,120500
NAmes,VinylSd,1965,,1820,492,201800
Other,Other,1976,90.0,1437,528,218000
NAmes,Other,1965,85.0,1265,502,179900
Other,VinylSd,2007,34.0,1314,626,230000
Other,VinylSd,2007,92.0,1580,830,235128
Other,HdBoard,1974,76.0,1876,540,185000
Other,Other,1978,24.0,1456,440,146000
Other,HdBoard,1954,,1640,924,224000
Other,VinylSd,1968,109.0,894,450,129000
Other,Other,1969,60.0,1258,400,108959
Other,Other,1978,,1432,588,194000
Other,VinylSd,2009,79.0,1502,644,233170
CollgCr,VinylSd,2008,64.0,1694,776,245350
Other,VinylSd,2000,58.0,1671,472,173000
Edwards,Other,1935,120.0,2108,540,235000
Other,HdBoard,1995,118.0,3627,807,625000
Other,Other,1977,76.0,1118,358,171000
NAmes,Other,1958,76.0,1261,433,163000
Other,Other,2006,35.0,1250,625,171900
Other,Other,1946,138.0,3086,0,200500
Other,Other,1932,80.0,2345,360,239000
Other,HdBoard,1992,85.0,2872,541,285000
Other,HdBoard,1984,37.0,923,264,119500
OldTown,,1926,,1224,210,115000
Other,Other,1921,54.0,1343,186,154900
Edwards,Other,1954,77.0,1124,0,93000
Other,Other,1990,,2514,693,250000
Other,Other,2008,64.0,1652,482,392500
Other,Other,1996,160.0,4476,813,745000
OldTown,Other,1920,60.0,1130,720,120000
Other,Other,1963,50.0,1572,995,186700
Edwards,Other,1924,60.0,1221,392,104900
OldTown,HdBoard,1900,107.0,1699,420,95000
Other,,1994,89.0,1624,757,262000
CollgCr,VinylSd,2002,68.0,1660,493,195000
Other,,1999,60.0,1804,442,189000
Other,Other,1961,,1622,1356,168000
Other,Other,1999,24.0,1441,492,174000
OldTown,VinylSd,1925,60.0,1472,250,125000
Other,VinylSd,1999,,1224,402,165000
Other,HdBoard,1969,80.0,1352,299,158000
Other,VinylSd,2005,51.0,1456,400,176000
,VinylSd,2006,58.0,1863,660,219210
OldTown,Other,1916,65.0,1690,225,144000
CollgCr,VinylSd,2001,70.0,1212,573,178000
Other,HdBoard,1963,75.0,1382,459,148000
NAmes,Other,1970,71.0,864,280,116050
CollgCr,VinylSd,1998,80.0,1779,546,197900
Other,Other,1925,50.0,1348,216,117000
CollgCr,VinylSd,2000,75.0,1630,451,213000
Other,HdBoard,1975,78.0,1074,495,153500
Other,HdBoard,1990,90.0,2196,701,271900
Other,HdBoard,1966,,1056,384,107000
CollgCr,VinylSd,2003,70.0,1700,544,200000
NAmes,Other,1962,70.0,1283,506,140000
Other,VinylSd,2006,85.0,1660,500,290000
Other,Other,1992,70.0,1845,462,189000
Other,Other,1988,152.0,1752,492,164000
Edwards,Other,1941,50.0,672,234,113000
Other,VinylSd,1965,,960,364,145000
NAmes,Other,1962,69.0,999,300,134500
Other,VinylSd,1966,99.0,894,384,125000
Other,VinylSd,1978,68.0,1902,539,112000
Other,Other,2009,72.0,1314,552,229456
Other,Other,1947,52.0,912,0,80500
Other,Other,1971,21.0,1218,0,91500
NAmes,Other,1964,66.0,912,288,115000
Other,HdBoard,1968,55.0,1211,322,134000
NAmes,Other,1949,78.0,1846,315,143000
NAmes,Other,1951,89.0,2136,528,137900
Other,VinylSd,2004,60.0,1490,388,184000
NAmes,VinylSd,1958,65.0,1138,264,145000
Other,VinylSd,2007,86.0,1933,668,214000
NAmes,VinylSd,1965,72.0,912,576,147000
Other,Other,2008,65.0,1702,1052,367294
NAmes,Other,1960,70.0,1507,404,127000
Other,Other,1977,,2620,600,190000
NAmes,Other,1962,70.0,1190,540,132500
NAmes,HdBoard,1962,70.0,1224,462,101800
NAmes,Other,1959,,1188,531,142000
Other,Other,1911,55.0,1964,0,130000
Other,Other,1914,96.0,1784,180,138887
Other,VinylSd,2003,36.0,1626,474,175500
CollgCr,VinylSd,2004,41.0,1948,434,195000
Other,VinylSd,2005,63.0,1141,484,142500
Other,VinylSd,2006,64.0,1484,472,265900
CollgCr,VinylSd,2003,65.0,1768,543,224900
Other,VinylSd,2007,83.0,1689,954,248328
Other,Other,1974,85.0,1173,528,170000
,VinylSd,2006,107.0,2076,850,465000
Other,Other,1929,,1517,400,230000
Other,VinylSd,1984,78.0,1868,477,178000
Other,VinylSd,2005,65.0,1553,615,186500
Other,HdBoard,1976,,1034,888,169900
OldTown,Other,1917,60.0,2058,396,129500
NAmes,Other,1950,60.0,988,276,119000
NAmes,Other,1968,93.0,2110,522,244000
Other,VinylSd,2003,,1405,478,171750
Other,HdBoard,1968,62.0,874,288,130000
Other,Other,1974,,2167,518,294000
Edwards,VinylSd,2003,60.0,1656,397,165400
Other,Other,1931,52.0,1367,560,127500
Other,HdBoard,1994,91.0,1987,691,301500
Edwards,Other,1922,56.0,864,0,99900
Other,VinylSd,2005,59.0,1166,400,190000
NAmes,HdBoard,1969,65.0,1054,460,151000
Other,VinylSd,1999,,1675,502,181000
NAmes,Other,1956,80.0,1050,338,128900
Other,Other,1957,,1788,304,161500
Other,Other,1919,60.0,1824,520,180500
NAmes,Other,1998,34.0,1337,511,181000
Other,Other,1999,35.0,1452,506,183900
OldTown,Other,1910,60.0,1889,308,122000
Other,Other,2008,89.0,2018,746,378500
Other,Other,1935,,3447,1014,381000
NAmes,Other,1958,78.0,1524,315,144000
Other,Other,1979,,1524,586,260000
Other,Other,1968,,1489,462,185750
Other,HdBoard,1965,,935,288,137000
Edwards,Other,1959,124.0,1357,312,177000
Other,Other,1910,53.0,1250,552,139000
NAmes,Other,1948,95.0,1920,400,137000
Other,HdBoard,1972,,1395,497,162000
Other,HdBoard,1967,,1724,480,197900
CollgCr,VinylSd,2002,75.0,2031,577,237000
Other,Other,1920,60.0,1128,528,68400
CollgCr,VinylSd,2002,67.0,1573,544,227000
Other,HdBoard,1990,50.0,1339,484,180000
CollgCr,HdBoard,1977,61.0,1040,484,150500
Other,Other,1971,94.0,1824,0,139000
Other,Other,1919,50.0,2447,336,169000
Other,Other,1939,50.0,1412,280,132500
Other,HdBoard,1963,,1328,528,143000
Other,Other,1964,,1582,390,190000
Other,Other,2000,40.0,1659,499,278000
Other,VinylSd,2006,86.0,1970,753,281000
NAmes,Other,1964,,1152,484,180500
Other,Other,1972,21.0,1302,264,119500
OldTown,Other,1892,60.0,2372,432,107500
Other,HdBoard,1976,78.0,1664,528,162900
Edwards,Other,1955,60.0,864,572,115000
NAmes,HdBoard,1968,70.0,1052,288,138500
NAmes,Other,1963,80.0,1128,525,155000
Edwards,VinylSd,2005,35.0,1072,525,140000
Edwards,Other,2008,313.0,5642,1418,160000
NAmes,Other,1959,75.0,1246,305,154000
Other,VinylSd,1999,,1983,490,225000
Other,Other,1942,,1494,213,177500
,VinylSd,1994,92.0,2526,844,290000
Other,VinylSd,2005,73.0,1616,834,232000
Edwards,VinylSd,2004,32.0,1708,380,130000
Other,VinylSd,2006,108.0,1652,840,325000
Other,VinylSd,2005,48.0,1368,474,202500
CollgCr,VinylSd,1994,60.0,990,480,138000
OldTown,,1948,100.0,1122,528,147000
Other,HdBoard,1991,,1294,496,179200
Other,Other,1959,100.0,1902,567,335000
CollgCr,VinylSd,2005,68.0,1274,508,203000
Other,Other,1990,,2810,750,302000
Other,VinylSd,1999,108.0,2599,779,333168
Edwards,Other,1954,60.0,948,280,119000
NAmes,HdBoard,1969,85.0,2112,576,206900
CollgCr,VinylSd,2008,61.0,1630,860,295493
Other,VinylSd,2006,47.0,1352,466,208900
CollgCr,VinylSd,2001,,1787,748,275000
Edwards,,1954,75.0,948,248,111000
NAmes,Other,1957,70.0,1478,442,156500
Other,VinylSd,1949,,720,287,72500
Other,HdBoard,1992,107.0,1923,564,190000
Other,VinylSd,1940,50.0,708,0,82500
Other,VinylSd,2006,75.0,1795,895,147000
Other,Other,1922,40.0,796,0,55000
Edwards,Other,1931,70.0,774,0,79000
Other,VinylSd,1982,60.0,816,264,130500
OldTown,Other,1920,60.0,2792,520,256000
Other,VinylSd,1998,63.0,1632,462,176500
Other,VinylSd,2006,85.0,1588,825,227000
CollgCr,Other,1976,55.0,954,576,132500
Edwards,Other,1938,67.0,816,288,100000
Other,Other,1938,60.0,1360,297,125500
Other,HdBoard,1970,24.0,1365,440,125000
Other,Other,1977,80.0,1334,630,167900
Other,Other,1973,87.0,1656,506,135000
OldTown,Other,1941,153.0,693,0,52500
CollgCr,VinylSd,2002,95.0,1861,492,200000
CollgCr,Other,1972,120.0,864,288,128500
NAmes,Other,1971,70.0,872,480,123000
Other,VinylSd,2003,66.0,1114,576,155000
CollgCr,VinylSd,2002,,2169,647,228500
Other,Other,1928,57.0,1913,342,177000
CollgCr,VinylSd,2006,85.0,1456,440,155835
OldTown,Other,1920,50.0,960,308,108500
Other,Other,1968,,2156,508,262500
Other,VinylSd,2006,93.0,1776,712,283463
Other,VinylSd,1998,,1494,514,215000
OldTown,Other,1872,50.0,2358,0,122000
NAmes,Other,1969,91.0,2634,968,200000
NAmes,HdBoard,1962,70.0,1716,490,171000
Other,Other,1937,50.0,1176,624,134900
Other,VinylSd,1995,56.0,3238,666,410000
CollgCr,VinylSd,2000,,1865,839,235000
Other,Other,1968,102.0,1920,487,170000
NAmes,,1966,,892,264,110000
NAmes,VinylSd,1971,,1078,500,149900
Other,Other,2000,,1573,440,177500
Other,VinylSd,2004,129.0,1980,770,315000
Other,Other,1921,51.0,2601,621,189000
Other,VinylSd,2005,124.0,1530,430,260000
NAmes,VinylSd,1920,,1738,368,104900
Other,VinylSd,2006,73.0,1412,432,156932
Other,Other,2005,30.0,1200,480,144152
Other,VinylSd,2000,,1674,663,216000
CollgCr,VinylSd,1999,68.0,1790,588,193000
Other,Other,1977,41.0,1475,336,127000
CollgCr,VinylSd,2003,,848,420,144000
CollgCr,VinylSd,2003,48.0,1668,502,232000
OldTown,Other,1920,90.0,1374,338,105000
NAmes,Other,1955,80.0,1661,377,165500
CollgCr,VinylSd,1998,75.0,2097,583,274300
Other,VinylSd,2001,,2633,804,466500
Other,Other,2005,85.0,1958,936,250000
Other,VinylSd,2007,89.0,1571,722,239000
Other,Other,1930,52.0,790,160,91000
Edwards,Other,1941,60.0,1604,660,117000
Other,HdBoard,1973,21.0,987,264,83000
Other,VinylSd,2006,73.0,1394,400,167500
Edwards,Other,1914,45.0,864,200,58500
NAmes,Other,1970,,2117,550,237500
OldTown,Other,1920,60.0,1762,576,157000
Other,Other,1918,,1416,576,112000
Edwards,Other,1939,60.0,1258,280,105000
Other,VinylSd,1922,40.0,1154,240,125500
Other,Other,1978,80.0,2784,564,250000
OldTown,Other,1916,60.0,2526,216,136000
Other,VinylSd,2006,42.0,1746,758,377500
Other,Other,1941,60.0,1218,440,131000
CollgCr,VinylSd,2000,70.0,1525,541,235000
NAmes,Other,1967,65.0,1584,792,124000
NAmes,HdBoard,1967,68.0,900,288,123000
OldTown,Other,1905,60.0,1912,672,163000
Other,VinylSd,2006,53.0,1500,648,246578
Other,VinylSd,2005,88.0,2482,642,281213
Other,Other,1948,,1687,572,160000
Other,Other,1920,51.0,1513,180,137500
NAmes,VinylSd,1950,60.0,1904,240,138000
Other,Other,1925,51.0,1608,216,137450
Other,Other,1929,50.0,1158,208,120000
Other,VinylSd,2004,62.0,1593,398,193000
CollgCr,VinylSd,2006,64.0,1294,662,193879
Other,VinylSd,2007,49.0,1464,754,282922
OldTown,Other,1915,60.0,1214,936,105000
Other,Other,2004,44.0,1646,482,275000
,HdBoard,1972,70.0,768,396,133000
Other,HdBoard,1985,,833,0,112000
OldTown,VinylSd,1910,60.0,1363,528,125500
Other,Other,1986,46.0,2093,542,215000
CollgCr,VinylSd,2001,79.0,1840,622,230000
NAmes,VinylSd,1950,80.0,1668,271,140000
NAmes,Other,1949,60.0,1040,420,90000
Other,VinylSd,2005,88.0,1844,620,257000
Other,,1923,64.0,1848,370,207000
Other,VinylSd,2007,51.0,1569,660,175900
OldTown,VinylSd,1885,60.0,2290,560,122500
Other,VinylSd,1998,,2450,1069,340000
NAmes,HdBoard,1963,71.0,1144,336,124000
Other,Other,1969,,1844,540,223000
Other,HdBoard,1968,90.0,1416,776,179900
Other,Other,1977,53.0,1069,440,127500
CollgCr,VinylSd,2003,37.0,848,420,136500
Edwards,Other,1966,,2201,432,274970
NAmes,HdBoard,1958,,1344,484,144000
NAmes,HdBoard,1959,80.0,1252,528,142000
Other,VinylSd,1994,81.0,2127,525,271000
NAmes,,1945,60.0,1558,288,140000
OldTown,Other,1940,60.0,804,240,119000
Other,Other,1981,,1440,467,182900
Other,VinylSd,2005,60.0,1838,372,192140
Other,Other,1976,,958,440,143750
OldTown,Other,1927,60.0,968,216,64500
Other,VinylSd,2000,93.0,1792,451,186500
Other,Other,1977,80.0,1126,484,160000
NAmes,Other,1962,80.0,1537,462,174000
NAmes,HdBoard,1971,60.0,864,528,120500
Other,VinylSd,2008,96.0,1932,774,394617
OldTown,Other,1957,90.0,1236,923,149700
Other,HdBoard,1979,80.0,1725,550,197000
Other,Other,1922,79.0,2555,672,191000
CollgCr,VinylSd,2004,,848,420,149300
Other,VinylSd,2008,85.0,2007,812,310000
Other,Other,1916,,952,192,121000
CollgCr,VinylSd,2004,63.0,1422,626,179600
Other,VinylSd,1966,70.0,913,240,129000
Other,HdBoard,1962,,1188,312,157900
CollgCr,VinylSd,1995,80.0,2090,556,240000
Edwards,Other,1910,70.0,1346,384,112000
Other,Other,1970,21.0,630,0,92000
NAmes,VinylSd,1974,60.0,1792,0,136000
Other,Other,2008,78.0,1578,840,287090
Edwards,VinylSd,2005,35.0,1072,525,145000
Other,VinylSd,2006,90.0,1140,0,84500
Other,VinylSd,2004,62.0,1221,400,185000
Other,VinylSd,1999,62.0,1647,460,175000
Other,Other,1978,85.0,2073,500,210000
Other,Other,1941,66.0,2340,252,266500
NAmes,Other,1950,68.0,1078,240,142125
Edwards,HdBoard,1965,75.0,1256,276,147500
